,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
28,Barrow,42,AR,1562800702,76,-38.31,-60.23,48.95,3.83
29,Busselton,68,AU,1562800703,76,-33.64,115.35,46.99,8.28
30,Zhigansk,32,RU,1562800704,38,66.77,123.37,78.65,4.76
31,Lavrentiya,4,RU,1562800705,32,65.58,-170.99,74.51,5.86
32,Fatwa,90,IN,1562800707,88,25.52,85.32,80.6,9.17
33,Narsaq,14,GL,1562800708,54,60.91,-46.05,55.4,14.99
34,Saskylakh,84,RU,1562800709,57,71.97,114.09,57.77,7.27
35,Tura,100,RU,1562800710,61,64.27,100.22,67.13,3.38
36,Qaanaaq,100,GL,1562800711,62,77.48,-69.36,44.09,1.48
37,Chipinge,0,ZW,1562800713,61,-20.19,32.62,57.41,4.43
38,Port Hardy,90,CA,1562800714,82,50.7,-127.42,66.2,8.05
39,Dikson,100,RU,1562800715,96,73.51,80.55,31.67,10.71
40,Hobart,40,AU,1562800612,70,-42.88,147.33,51.01,9.17
41,Southbridge,1,US,1562800717,51,42.08,-72.03,86.0,8.05
42,Atuona,0,PF,1562800719,79,-9.8,-139.03,80.27,17.16
43,Ponta do Sol,0,BR,1562800720,62,-20.63,-46.0,55.07,3.29
44,Hermanus,0,ZA,1562800721,91,-34.42,19.24,53.01,1.01
45,Pangkalanbuun,82,ID,1562800722,91,-2.68,111.62,75.41,4.05
46,Tasiilaq,82,GL,1562800724,70,65.61,-37.64,44.6,9.17
47,Pangai,88,TO,1562800725,87,-19.8,-174.35,75.23,22.73
48,Yerbogachen,37,RU,1562800726,57,61.28,108.01,71.27,6.33
49,Aranos,0,NA,1562800727,25,-24.14,19.11,53.45,9.98
50,Araceli,72,PH,1562800728,92,10.55,119.99,76.67,1.54
51,Ushuaia,40,AR,1562800441,86,-54.81,-68.31,37.4,4.7
52,Mahebourg,40,MU,1562800731,88,-20.41,57.7,69.8,2.24
53,Sri Aman,82,MY,1562800732,94,1.24,111.46,71.6,1.41
54,Pahrump,1,US,1562800693,6,36.21,-115.98,106.0,17.22
55,Mar del Plata,95,AR,1562800734,82,-46.43,-67.52,42.83,2.24
56,Bredasdorp,0,ZA,1562800736,87,-34.53,20.04,50.0,1.12
57,Carnarvon,0,ZA,1562800737,29,-30.97,22.13,53.09,9.08
58,Lebu,75,ET,1562800738,82,8.96,38.73,57.2,4.7
59,Avarua,36,CK,1562800739,73,-21.21,-159.78,77.0,10.29
60,Dingle,3,PH,1562800740,76,11.0,122.67,80.99,0.98
61,Abu Dhabi,0,AE,1562800742,45,24.47,54.37,91.4,4.7
62,Nouakchott,68,MR,1562800743,78,18.08,-15.98,75.2,11.41
63,Bluff,78,AU,1562800744,63,-23.58,149.07,67.49,3.74
64,Praia,0,BR,1562800745,71,-20.25,-43.81,59.0,1.97
65,Butaritari,51,KI,1562800747,65,3.07,172.79,85.31,4.05
66,Port Elizabeth,1,US,1562800748,65,39.31,-74.98,87.8,10.29
67,Tautira,20,PF,1562800749,69,-17.73,-149.15,82.4,20.8
68,Grindavik,90,IS,1562800750,87,63.84,-22.43,55.0,2.24
69,Hithadhoo,100,MV,1562800751,72,-0.6,73.08,84.23,9.89
70,Buritis,0,BR,1562800753,48,-15.62,-46.42,60.11,3.0
71,Iqaluit,75,CA,1562800754,66,63.75,-68.52,55.4,5.82
72,Belmonte,10,PT,1562800755,72,40.36,-7.35,75.0,1.48
73,Namibe,84,AO,1562800756,80,-15.19,12.15,66.95,9.55
74,Port Shepstone,0,ZA,1562800757,86,-30.74,30.45,52.19,4.54
75,Rochegda,97,RU,1562800759,94,62.67,43.41,43.01,9.98
76,Marzuq,59,YE,1562800760,29,14.4,46.47,77.75,4.47
77,Fortuna,1,US,1562800761,64,40.6,-124.16,71.6,17.22
78,Illapel,100,CL,1562800763,85,-31.63,-71.17,49.85,2.91
79,Codrington,0,AU,1562800764,87,-28.95,153.24,62.01,8.21
80,Pisco,90,PE,1562800765,30,-13.71,-76.2,71.6,4.7
81,Warmbad,0,DE,1562800766,62,50.67,13.08,57.99,2.24
82,Esperance,40,AU,1562800767,100,-33.86,121.89,46.4,12.75
83,Hasaki,75,JP,1562800769,82,35.73,140.83,68.0,8.05
84,Rocha,91,UY,1562800770,80,-34.48,-54.34,52.91,4.14
85,Klaksvik,99,FO,1562800771,93,62.23,-6.59,51.8,10.29
86,Praia da Vitoria,20,PT,1562800775,83,38.73,-27.07,71.6,8.08
87,Hambantota,100,LK,1562800777,81,6.12,81.12,81.89,8.99
88,Soyo,75,AO,1562800778,84,-6.13,12.37,74.33,12.26
89,Eureka,1,US,1562800642,64,40.8,-124.16,71.6,17.22
90,Puerto Carreno,29,CO,1562800525,89,6.19,-67.49,74.51,3.15
91,Albany,1,US,1562800524,54,42.65,-73.75,86.0,1.88
92,Kamarion,0,GR,1562800783,40,36.8,25.82,86.0,18.34
93,College,90,US,1562800784,53,64.86,-147.8,84.0,6.13
94,Kota Kinabalu,75,MY,1562800785,83,5.98,116.07,77.0,6.93
95,Leh,96,IN,1562800786,90,34.16,77.58,37.07,4.38
96,Riyadh,0,SA,1562800787,11,24.63,46.72,87.8,4.7
97,Bonfim,14,GY,1562800789,77,3.36,-59.84,78.29,5.37
98,Vila Velha,75,BR,1562800790,74,-3.71,-38.6,80.6,6.93
99,Koslan,100,RU,1562800791,96,63.46,48.9,43.55,10.31
100,Longyearbyen,75,NO,1562800762,81,78.22,15.63,46.4,4.7
101,Vieques,90,PR,1562800794,83,18.43,-65.83,84.2,12.75
102,Kaitangata,51,NZ,1562800795,70,-46.28,169.85,55.99,1.99
103,Itarema,8,BR,1562800796,85,-2.92,-39.92,74.51,5.7
104,Nikolskoye,75,RU,1562800797,66,59.7,30.79,52.0,6.71
105,Bayana,100,IN,1562800798,51,26.91,77.29,89.09,17.58
106,Talcahuano,75,CL,1562800800,93,-36.72,-73.12,51.8,3.36
107,San Pedro de Macoris,75,DO,1562800639,66,18.46,-69.3,87.8,9.17
108,Ugoofaaru,100,MV,1562800802,65,5.67,73.0,84.05,4.21
109,Pailon,20,BO,1562800803,69,-17.66,-62.72,78.8,11.41
110,Mount Isa,18,AU,1562800804,25,-20.73,139.49,64.4,18.14
111,Marsh Harbour,6,BS,1562800806,77,26.54,-77.06,84.05,11.18
112,Chuy,100,UY,1562800807,84,-33.69,-53.46,54.53,5.41
113,Bontang,100,ID,1562800808,86,0.12,117.47,76.31,1.48
114,Clyde River,20,CA,1562800521,62,70.47,-68.59,55.4,14.99
115,Yinchuan,24,CN,1562800810,37,38.48,106.21,71.81,4.72
116,Bara,98,NG,1562800812,87,10.41,10.6,73.25,6.62
117,Poum,99,MK,1562800813,93,41.28,20.71,49.49,6.11
118,Barcelona,0,ES,1562800523,64,41.38,2.18,79.0,2.24
119,Berezovyy,100,RU,1562800815,62,51.67,135.7,75.05,1.68
120,Bambous Virieux,40,MU,1562800816,88,-20.34,57.76,69.8,2.24
121,Cherskiy,0,RU,1562800818,27,68.75,161.3,83.69,7.72
122,Noumea,0,NC,1562800770,60,-22.28,166.46,69.8,2.24
123,Luderitz,0,NA,1562800820,48,-26.65,15.16,66.2,1.12
124,Impfondo,100,CD,1562800821,98,1.62,18.06,70.37,3.38
125,El Monte,1,US,1562800822,37,34.08,-118.04,89.6,10.29
126,Hovd,0,NO,1562800824,87,63.83,10.7,52.0,3.36
127,Watsa,100,CD,1562800825,98,3.04,29.53,64.07,2.75
128,Yelizovo,75,RU,1562800826,72,53.19,158.38,66.2,2.24
129,Letnyaya Stavka,91,RU,1562800827,55,45.43,43.44,66.77,5.01
130,Bethel,20,US,1562800558,64,60.79,-161.76,73.4,8.05
131,Coquimbo,100,CL,1562800830,78,-29.95,-71.34,55.25,18.39
132,Abilene,1,US,1562800585,39,32.45,-99.73,102.2,4.7
133,Slave Lake,90,CA,1562800832,87,55.28,-114.77,59.0,5.82
134,Castro,40,CL,1562800833,100,-42.48,-73.76,46.4,10.29
135,Saint-Augustin,75,CA,1562800834,54,45.63,-73.98,86.0,4.7
136,Anadyr,0,RU,1562800836,43,64.73,177.51,71.6,2.24
137,San Rafael,53,AR,1562800837,53,-34.61,-68.33,50.39,6.29
138,Brae,100,GB,1562800838,100,60.4,-1.35,53.6,16.11
139,Wonthaggi,100,AU,1562800839,77,-38.6,145.59,51.01,22.3
140,Zeya,0,RU,1562800840,44,53.74,127.27,78.65,1.52
141,Coihaique,75,CL,1562800770,93,-45.58,-72.07,42.8,4.7
142,Sharanga,100,RU,1562800843,94,57.18,46.54,52.01,6.04
143,Fort Nelson,40,CA,1562800844,35,58.81,-122.69,71.6,5.82
144,Nanortalik,42,GL,1562800845,90,60.14,-45.24,40.49,5.7
145,Trogir,0,HR,1562800846,42,43.52,16.25,68.0,14.99
146,Tahe,28,CN,1562800848,42,52.34,124.71,78.11,3.96
147,Orlik,0,PL,1562800849,93,53.95,17.74,50.0,8.05
148,East London,0,ZA,1562800633,88,-33.02,27.91,51.11,2.98
149,Chokurdakh,44,RU,1562800851,57,70.62,147.9,70.73,4.0
150,Oranjemund,0,ZA,1562800852,50,-28.55,16.43,63.17,12.44
151,Saint-Philippe,1,CA,1562800854,45,45.36,-73.48,86.0,5.82
152,Westport,20,US,1562800725,61,41.14,-73.36,84.99,5.82
153,Aripuana,32,BR,1562800648,68,-9.17,-60.63,76.85,2.64
154,Belaya Gora,0,RU,1562800857,34,68.54,146.19,82.43,8.39
155,Khuzdar,0,PK,1562800858,79,27.8,66.62,71.45,4.79
156,Kichera,13,RU,1562800859,62,55.93,110.1,68.21,4.5
157,Fengcheng,100,CN,1562800861,83,40.45,124.07,64.61,0.54
158,Kysyl-Syr,89,RU,1562800862,51,63.9,122.77,75.95,4.18
159,Chiredzi,0,ZW,1562800863,66,-21.05,31.67,56.51,2.19
160,Lillooet,20,CA,1562800644,44,50.69,-121.94,77.0,14.99
161,Turan,100,RU,1562800865,97,52.15,93.92,53.27,3.29
162,Cape Town,0,ZA,1562800867,100,-33.93,18.42,53.01,2.24
163,Northam,90,AU,1562800868,93,-31.65,116.67,53.6,3.36
164,Robertsport,89,LR,1562800810,89,6.75,-11.37,76.13,8.21
165,Tuatapere,76,NZ,1562800870,96,-46.13,167.69,48.0,3.0
166,Victoria,75,BN,1562800826,88,5.28,115.24,78.8,7.83
167,Port Alfred,0,ZA,1562800765,91,-33.59,26.89,57.0,5.99
168,Cabo San Lucas,5,MX,1562800640,45,22.89,-109.91,95.0,8.05
169,Egvekinot,0,RU,1562800726,23,66.32,-179.17,79.01,4.47
170,Muscat,80,OM,1562800876,75,23.6,58.55,89.6,3.36
171,Imbituba,0,BR,1562800579,77,-28.24,-48.67,66.2,9.17
172,Khatanga,59,RU,1562800878,56,71.98,102.47,53.63,3.96
173,Alice Springs,0,AU,1562800861,40,-23.7,133.88,51.8,6.93
174,Boralday,40,KZ,1562800881,72,43.36,76.86,64.4,2.24
175,Birin,100,NP,1562800882,95,26.89,88.07,62.09,5.19
176,Kandi,54,BJ,1562800883,81,11.13,2.93,76.13,3.58
177,Kruisfontein,0,ZA,1562800884,76,-34.0,24.73,51.83,4.65
178,Plouzane,0,FR,1562800886,82,48.38,-4.62,64.99,5.61
179,Ibra,44,OM,1562800887,44,22.69,58.55,80.81,4.03
180,Saldanha,0,PT,1562800888,49,41.42,-6.55,72.17,2.98
181,Shetpe,1,KZ,1562800889,53,44.14,52.16,78.47,6.51
182,Faya,20,SA,1562800890,56,18.39,42.45,73.4,6.93
183,Thompson,75,CA,1562800892,33,55.74,-97.86,71.6,5.82
184,Hirara,75,JP,1562800893,89,24.8,125.28,84.2,16.11
185,Lucapa,45,AO,1562800894,33,-8.42,20.74,67.85,3.71
186,Sakaraha,1,MG,1562800895,97,-22.91,44.53,57.59,4.47
187,Petropavlovka,9,RU,1562800896,68,50.61,105.32,66.41,1.39
188,Ishigaki,75,JP,1562800898,89,24.34,124.16,84.2,14.99
189,Mecca,30,SA,1562800824,17,21.43,39.83,84.23,4.72
190,Mpongwe,41,ZM,1562800900,53,-13.51,28.16,54.89,6.85
191,Provideniya,0,RU,1562800769,49,64.42,-173.23,73.4,8.95
192,Monywa,100,MM,1562800902,76,22.12,95.13,80.27,13.29
193,Bossier City,20,US,1562800904,59,32.52,-93.73,93.99,8.05
194,Sulangan,23,PH,1562800905,72,11.14,123.72,82.43,4.68
195,Avera,1,US,1562800796,79,33.19,-82.53,86.0,8.05
196,Turukhansk,0,RU,1562800907,61,65.8,87.96,53.45,13.29
197,La Seyne-sur-Mer,0,FR,1562800908,83,43.1,5.88,78.01,2.24
198,Arauco,75,CL,1562800910,93,-37.25,-73.32,51.8,3.36
199,Karabash,100,RU,1562800911,97,55.49,60.21,58.49,5.5
200,North Bend,90,US,1562800912,100,43.41,-124.22,72.0,11.41
201,Komsomolskiy,100,RU,1562800913,78,67.55,63.78,53.63,15.21
202,Chimoio,0,MZ,1562800915,87,-19.11,33.48,57.2,3.09
203,Waipawa,28,NZ,1562800916,73,-39.94,176.59,55.99,13.0
204,Souillac,0,FR,1562800917,64,45.6,-0.6,70.0,2.24
205,Lima,90,PE,1562800918,77,-12.06,-77.04,64.4,6.93
206,Caravelas,46,BR,1562800920,81,-17.73,-39.27,70.19,10.4
207,Tuktoyaktuk,90,CA,1562800921,93,69.44,-133.03,44.6,14.99
208,Lebedinyy,36,RU,1562800922,75,58.52,125.52,65.87,5.64
209,Gazanjyk,9,TM,1562800923,65,39.24,55.52,81.53,15.03
210,Bambanglipuro,0,ID,1562800924,82,-7.95,110.28,73.07,9.78
211,Knysna,0,ZA,1562800761,87,-34.04,23.05,46.4,3.36
212,Kesinga,100,IN,1562800927,81,20.19,83.22,78.29,8.9
213,Salalah,90,OM,1562800660,100,17.01,54.1,78.8,6.93
214,Kodiak,1,US,1562800929,38,39.95,-94.76,87.8,11.41
215,Rio Gallegos,90,AR,1562800930,100,-51.62,-69.22,37.4,6.93
216,Luanda,0,AO,1562800931,94,-8.83,13.24,69.8,5.82
217,Ambilobe,71,MG,1562800933,82,-13.19,49.05,71.99,5.17
218,Cairns,90,AU,1562800849,78,-16.92,145.77,73.0,12.75
219,Qidong,50,CN,1562800935,75,31.81,121.66,87.01,1.97
220,Manakara,1,MG,1562800936,95,-22.14,48.01,62.99,2.98
221,Nouadhibou,0,MR,1562800937,73,20.93,-17.03,69.8,23.04
222,Baykit,87,RU,1562800939,91,61.68,96.39,55.61,8.72
223,Naze,75,NG,1562800940,94,5.43,7.07,77.0,1.9
224,Zudilovo,40,RU,1562800941,87,53.48,83.88,53.6,6.71
225,Ribeira Grande,0,PT,1562800942,88,38.52,-28.7,70.37,6.58
226,Traverse City,40,US,1562800826,41,44.76,-85.62,91.4,12.75
227,Touros,75,BR,1562800944,88,-5.2,-35.46,77.0,3.36
228,Bozoum,100,CF,1562800946,98,6.31,16.38,64.97,4.16
229,Pochutla,90,MX,1562800947,66,15.74,-96.47,86.0,21.92
230,Matagami,100,NG,1562800948,94,9.67,8.4,68.39,3.44
231,Severo-Kurilsk,98,RU,1562800949,95,50.68,156.12,43.19,18.3
232,Hervey Bay,90,AU,1562800804,77,-25.3,152.85,71.01,6.93
233,Iralaya,75,HN,1562800952,74,15.0,-83.23,86.0,11.41
234,Vardo,1,US,1562800953,62,39.62,-77.74,86.0,8.05
235,Taoudenni,2,ML,1562800954,23,22.68,-3.98,97.55,17.29
236,Arlit,23,NE,1562800955,22,18.74,7.39,96.47,12.19
237,Saint George,75,GR,1562800957,73,39.45,22.34,75.2,20.8
238,Berlevag,100,NO,1562800958,84,70.86,29.09,42.29,11.52
239,Ambon,0,FR,1562800959,72,47.55,-2.56,66.99,6.93
240,Diamantina,0,BR,1562800960,71,-18.24,-43.6,56.33,8.66
241,Benguela,11,AO,1562800962,80,-12.58,13.4,69.47,9.78
242,Rayachoti,98,IN,1562800963,61,14.06,78.75,79.37,15.17
243,Antofagasta,75,CL,1562800964,71,-23.65,-70.4,57.2,12.75
244,Zhuanghe,77,CN,1562800965,69,39.7,122.97,70.55,4.36
245,Mao,40,DO,1562800966,52,19.55,-71.08,89.6,11.41
246,Mount Gambier,75,AU,1562800968,81,-37.83,140.78,51.8,17.22
247,Sakaiminato,75,JP,1562800969,78,35.55,133.23,75.2,10.29
248,Pyay,100,MM,1562800970,95,18.82,95.22,75.59,4.59
249,Bratsk,17,RU,1562800971,82,56.15,101.63,66.0,4.47
250,Liverpool,100,GB,1562800700,93,53.41,-2.98,63.0,2.24
251,Nishihara,75,JP,1562800974,72,35.74,139.53,75.0,6.93
252,Santa Isabel do Rio Negro,76,BR,1562800975,97,-0.41,-65.02,73.25,2.15
253,Auki,67,NG,1562800976,76,12.18,6.51,75.59,11.68
254,Arkhipo-Osipovka,100,RU,1562800977,85,44.37,38.53,63.35,3.71
255,Cap-aux-Meules,40,CA,1562800801,76,47.38,-61.86,57.2,12.75
256,Sao Filipe,25,CV,1562800979,85,14.9,-24.5,73.25,18.23
257,Waitati,30,NZ,1562800981,59,-45.75,170.57,57.99,4.0
258,Nicoya,75,CR,1562800982,66,10.15,-85.45,86.0,12.75
259,Qandala,6,SO,1562800983,48,11.47,49.87,91.25,27.6
260,Iracoubo,100,GF,1562800984,94,5.48,-53.21,74.69,4.03
261,Victor Harbor,20,AU,1562800986,82,-35.55,138.62,55.99,14.99
262,Petropavlovsk-Kamchatskiy,83,RU,1562800987,72,53.05,158.65,66.2,2.24
263,Katsuura,90,JP,1562800988,88,33.93,134.5,73.4,16.11
264,Trelew,76,AR,1562800757,56,-43.25,-65.31,51.83,12.37
265,Pascagoula,40,US,1562800908,79,30.37,-88.56,89.6,10.29
266,Rampura,99,IN,1562800992,80,24.47,75.44,77.93,18.03
267,Zhanakorgan,47,KZ,1562800993,23,43.91,67.25,81.35,10.92
268,Mandera,9,ET,1562800994,69,3.94,41.86,77.39,16.13
269,Constitucion,75,MX,1562800841,23,23.99,-104.67,82.4,5.82
270,Tezu,100,IN,1562800997,98,27.93,96.16,70.37,3.67
271,Kenora,40,CA,1562800998,68,49.76,-94.48,73.4,8.05
272,Flagstaff,20,US,1562800950,22,35.2,-111.65,96.01,3.36
273,Bathsheba,75,BB,1562800987,74,13.22,-59.52,84.2,17.22
274,Airai,73,TL,1562801001,64,-8.93,125.41,75.59,1.45
275,Maniitsoq,92,GL,1562801003,91,65.42,-52.9,41.21,4.36
276,Portland,1,US,1562800699,68,43.66,-70.25,75.2,4.7
277,Georgetown,75,GY,1562801005,78,6.8,-58.16,82.4,6.93
278,Ancud,40,CL,1562801006,100,-41.87,-73.83,46.4,10.29
279,Ahipara,0,NZ,1562800761,100,-35.17,173.16,60.01,8.63
280,Remedios,80,CO,1562801009,99,7.03,-74.7,66.41,1.43
281,Providencia,40,CO,1562801010,43,1.24,-77.6,71.6,4.7
282,Vestmannaeyjar,99,IS,1562801011,81,63.44,-20.27,52.73,12.53
283,Mayo,75,CA,1562801012,22,63.59,-135.9,80.6,3.36
284,Ust-Kut,7,RU,1562801014,54,56.78,105.75,73.07,2.75
285,Chabahar,59,IR,1562801015,75,25.29,60.65,83.51,8.16
286,Nanakuli,20,US,1562801016,46,21.39,-158.15,89.6,16.11
287,Huarmey,0,PE,1562801017,86,-10.07,-78.15,62.99,10.36
288,Anyksciai,36,LT,1562801018,97,55.53,25.1,49.67,6.33
289,Catemaco,75,MX,1562801020,79,18.42,-95.11,93.0,11.41
290,Broken Hill,0,AU,1562800925,81,-31.97,141.45,50.0,12.75
291,Zhezkazgan,0,KZ,1562800844,37,47.8,67.71,66.2,8.95
292,Lata,96,IN,1562801023,97,30.78,78.62,46.07,2.89
293,Nalut,0,LY,1562801024,67,31.86,10.98,77.03,13.13
294,Shimoda,75,JP,1562801026,73,34.7,138.93,72.0,8.05
295,Santo Estevao,13,BR,1562801027,90,-12.43,-39.25,65.33,5.35
296,Pecos,1,US,1562801028,11,31.42,-103.49,104.0,5.82
297,Barstow,1,US,1562800965,10,31.46,-103.39,105.8,5.82
298,Neiafu,75,TO,1562801030,88,-18.65,-173.98,78.8,3.36
299,Burnie,68,AU,1562801031,86,-41.05,145.91,50.0,8.01
300,Talnakh,0,RU,1562801033,81,69.49,88.39,44.6,11.18
301,Jati,100,PK,1562801034,69,24.35,68.27,84.77,22.06
302,Manono,15,CD,1562801035,40,-7.3,27.4,71.99,2.75
303,Paamiut,100,GL,1562801036,91,61.99,-49.67,43.19,4.09
304,Christchurch,83,NZ,1562800739,54,-43.53,172.64,61.0,6.93
305,Port Lincoln,87,AU,1562800783,77,-34.72,135.86,59.21,29.28
306,Srednekolymsk,47,RU,1562800781,24,67.46,153.71,83.33,7.16
307,Walvis Bay,0,NA,1562801041,93,-22.95,14.51,62.6,5.82
308,Vila Franca do Campo,20,PT,1562801042,82,37.72,-25.43,68.0,1.12
309,Hamilton,20,CA,1562800974,51,43.26,-79.87,84.2,9.17
310,Manaus,37,BR,1562801044,89,-3.13,-59.98,74.69,1.43
311,Gat,0,SN,1562801046,78,14.69,-16.54,75.2,9.17
312,Norden,75,DE,1562801047,93,53.59,7.21,57.99,5.82
313,Wewak,88,PG,1562801048,69,-3.55,143.63,81.53,2.95
314,Marsa Matruh,40,EG,1562801049,94,31.35,27.25,77.0,8.05
315,Beringovskiy,0,RU,1562801050,47,63.05,179.32,67.31,6.73
316,Kwinana,90,AU,1562800759,100,-32.25,115.77,54.0,4.7
317,Skrunda,77,LV,1562801053,100,56.68,22.02,50.0,3.87
318,Adolfo Lopez Mateos,0,MX,1562801054,34,26.8,-109.39,100.99,7.0
319,Henderson,1,US,1562801055,7,36.04,-114.98,106.0,12.75
320,Singaraja,16,ID,1562801057,66,-8.11,115.08,78.29,4.21
321,Pudozh,84,RU,1562801058,72,61.81,36.54,44.09,8.59
322,Tiarei,20,PF,1562801059,65,-17.53,-149.33,82.4,23.04
323,Isangel,75,VU,1562801060,69,-19.55,169.27,78.8,11.41
324,Bushehr,0,IR,1562801061,66,28.97,50.84,86.0,11.52
325,Chara,75,GR,1562801063,73,39.42,22.43,75.2,20.8
326,Copiapo,0,CL,1562801064,76,-27.37,-70.33,55.4,8.05
327,Lorengau,100,PG,1562801065,81,-2.02,147.27,80.27,14.07
328,Dargaville,0,NZ,1562801066,83,-35.94,173.86,58.67,11.86
329,Outjo,22,NA,1562801067,22,-20.11,16.16,59.0,2.24
330,Lar,0,IR,1562801069,41,27.66,54.32,77.39,1.83
331,Te Anau,54,NZ,1562801070,81,-45.41,167.72,46.79,1.63
332,Puerto Baquerizo Moreno,40,EC,1562801071,73,-0.9,-89.6,75.2,14.99
333,Kenai,20,US,1562801072,72,60.55,-151.26,64.99,12.75
334,Yabassi,75,CM,1562801074,100,4.46,9.97,75.2,2.21
335,Sainte-Rose,75,CA,1562801075,33,45.61,-73.79,86.0,5.82
336,Teguldet,0,RU,1562801076,77,57.31,88.17,55.61,6.06
337,Hay River,75,CA,1562801077,32,60.82,-115.79,69.8,5.82
338,Teseney,99,ER,1562801079,50,15.11,36.66,82.43,11.32
339,Sarahan,46,IN,1562801080,86,31.51,77.79,60.47,1.34
340,Seminole,1,US,1562801081,13,32.72,-102.64,102.2,9.17
341,Praya,20,ID,1562801082,100,-8.71,116.27,66.2,9.33
342,Mapiripan,13,CO,1562801083,86,2.89,-72.13,73.25,3.06
343,Norman Wells,75,CA,1562801085,33,65.28,-126.83,75.2,8.05
344,Lewistown,1,US,1562801086,45,40.39,-90.15,89.6,9.17
345,Bud,0,NO,1562801087,93,62.91,6.91,54.0,12.75
346,Laguna,40,BZ,1562801088,74,16.17,-88.94,87.8,6.93
347,Busca,21,IT,1562801090,68,44.52,7.47,75.99,2.13
348,Son La,100,VN,1562801091,98,21.32,103.9,69.11,1.9
349,Tiksi,55,RU,1562801092,74,71.64,128.87,52.01,12.28
350,Saint Anthony,1,US,1562801093,25,43.97,-111.68,87.8,4.7
351,Presidencia Roque Saenz Pena,13,AR,1562801094,70,-26.79,-60.44,68.39,7.27
352,Sinnamary,98,GF,1562800869,77,5.38,-52.96,81.35,9.91
353,Kerema,26,PG,1562801097,80,-7.96,145.78,77.57,12.48
354,Lompoc,1,US,1562800801,72,34.64,-120.46,82.99,14.99
355,Klamath Falls,1,US,1562800961,30,42.22,-121.78,84.0,10.29
356,Bubaque,100,GW,1562801100,82,11.28,-15.83,80.45,13.8
357,Ocean City,75,US,1562801102,83,30.44,-86.61,84.99,7.58
358,Adrar,0,DZ,1562801103,13,27.87,-0.29,100.4,8.05
359,San Policarpo,79,PH,1562801104,85,12.18,125.51,80.63,3.15
360,Hongjiang,99,CN,1562801105,85,27.21,109.83,71.99,1.63
361,Sorland,0,NO,1562801107,85,67.67,12.69,50.21,20.78
362,Dingli,0,IN,1562801108,50,28.39,75.51,90.35,23.29
363,Serenje,40,ZM,1562801109,72,-13.23,30.22,49.13,5.66
364,Rojhan,0,PK,1562801110,60,28.69,69.95,84.59,6.4
365,Beloslav,40,BG,1562801112,77,43.19,27.7,62.6,9.17
366,Chahal,100,GT,1562801113,80,15.75,-89.57,83.33,4.97
367,Chapais,75,CA,1562801114,47,49.78,-74.86,75.2,6.93
368,Myaundzha,79,RU,1562801115,67,63.05,147.18,64.61,0.83
369,Umm Lajj,0,SA,1562801116,76,25.02,37.27,84.05,10.33
370,Tual,86,ID,1562801118,79,-5.67,132.75,77.93,20.18
371,Mitsamiouli,40,KM,1562801119,74,-11.38,43.28,77.21,26.87
372,Sorong,100,ID,1562801120,95,-0.86,131.25,73.43,6.11
373,Fresno,1,US,1562801121,23,36.74,-119.78,98.01,12.75
374,Nome,1,US,1562801123,56,30.04,-94.42,96.01,2.89
